X.1,X,collar_id,masterID,x_,y_,t_,temp_c,fate,sl_,speed,julian,week,avg.bc,NDVI,total_precipitation
55,X21819.1.55,21819.1,R02M,20.0928757,14.8986582,2017-01-23T12:00:09Z,22,mortality,0.00897478211434673,2.49299503176298e-6,23,4,4.5,1337,0
56,X21819.1.56,21819.1,R02M,20.0854007,14.8936912,2017-01-23T13:00:09Z,26,mortality,0.00128290143814966,3.56361510597128e-7,23,4,4.5,1252,0
57,X21819.1.57,21819.1,R02M,20.0842814,14.8943181,2017-01-23T14:00:09Z,30,mortality,4.96257997403446e-5,1.36710192122161e-8,23,4,4.5,1252,0
58,X21819.1.58,21819.1,R02M,20.0842798,14.8942685,2017-01-23T15:00:39Z,35,mortality,3.48999999992827e-5,9.77591036394474e-9,23,4,4.5,1252,0
59,X21819.1.59,21819.1,R02M,20.0842798,14.8943034,2017-01-23T16:00:09Z,37,mortality,0.00402088426219923,1.11660212779762e-6,23,4,4.5,1252,0
60,X21819.1.60,21819.1,R02M,20.0826346,14.8906345,2017-01-23T17:00:10Z,38,mortality,1.26178445049159e-5,3.47694805867069e-9,23,4,4.5,1308,0
61,X21819.1.61,21819.1,R02M,20.0826235,14.8906405,2017-01-23T18:00:39Z,37,mortality,7.71038261091892e-6,2.15977103947309e-9,23,4,4.5,1308,0
62,X21819.1.62,21819.1,R02M,20.0826299,14.8906448,2017-01-23T19:00:09Z,38,mortality,9.13924504551841e-5,2.53867917931067e-8,23,4,4.5,1308,0
63,X21819.1.63,21819.1,R02M,20.0827142,14.8906095,2017-01-23T20:00:09Z,38,mortality,0.00401435389570993,1.10588261589805e-6,23,4,4.5,1308,0
64,X21819.1.64,21819.1,R02M,20.0842576,14.8943153,2017-01-23T21:00:39Z,43,mortality,1.25347556817529e-4,3.50622536552529e-8,23,4,4.5,1252,0
65,X21819.1.65,21819.1,R02M,20.0843177,14.8942053,2017-01-23T22:00:14Z,42,mortality,0.00387760632994164,1.06997967161745e-6,23,4,4.5,1252,0
66,X21819.1.66,21819.1,R02M,20.0823379,14.8908712,2017-01-23T23:00:38Z,36,mortality,0.00387682422222185,1.08594516028623e-6,23,4,4.5,1308,0
67,X21819.1.67,21819.1,R02M,20.0848136,14.8938546,2017-01-24T00:00:08Z,29,mortality,0.00258416457680222,7.11891067989592e-7,23,4,4.5,1252,0
68,X21819.1.68,21819.1,R02M,20.0868416,14.8954562,2017-01-24T01:00:38Z,28,mortality,0.00249210528068218,6.98460000191195e-7,23,4,4.5,1220,0
69,X21819.1.69,21819.1,R02M,20.0885748,14.8936655,2017-01-24T02:00:06Z,25,mortality,2.6392642914133e-4,7.32518537722259e-8,23,4,4.5,1233,0
70,X21819.1.70,21819.1,R02M,20.0885318,14.8934051,2017-01-24T03:00:09Z,24,mortality,0.00124000548385784,3.4444596773829e-7,23,4,4.5,1233,0
71,X21819.1.71,21819.1,R02M,20.089069,14.8945227,2017-01-24T04:00:09Z,24,mortality,0.00161940800603032,4.46117907997333e-7,23,4,4.5,1204,0
72,X21819.1.72,21819.1,R02M,20.0883475,14.8930729,2017-01-24T05:00:39Z,24,mortality,0.00153379596100704,4.2963472297116e-7,23,4,4.5,1233,0
73,X21819.1.73,21819.1,R02M,20.0868502,14.8934055,2017-01-24T06:00:09Z,23,mortality,1.7473408368899e-5,4.85507317835481e-9,24,4,4.5,1220,0
74,X21819.1.74,21819.1,R02M,20.0868328,14.8934071,2017-01-24T07:00:08Z,22,mortality,1.7473408368899e-5,4.85102953051054e-9,24,4,4.5,1220,0
75,X21819.1.75,21819.1,R02M,20.0868502,14.8934055,2017-01-24T08:00:10Z,22,mortality,7.76659513567658e-6,2.14014746091942e-9,24,4,4.5,1220,0
76,X21819.1.76,21819.1,R02M,20.0868438,14.8934011,2017-01-24T09:00:39Z,22,mortality,0.00187295950303046,5.24638516255031e-7,24,4,4.5,1220,0
77,X21819.1.77,21819.1,R02M,20.0886221,14.8928132,2017-01-24T10:00:09Z,21,mortality,0.0105307386113219,2.92520516981163e-6,24,4,4.5,1233,0
78,X21819.1.78,21819.1,R02M,20.080586,14.8860075,2017-01-24T11:00:09Z,20,mortality,0.00564582057543378,1.5557510541289e-6,24,4,4.5,1381,0
79,X21819.1.79,21819.1,R02M,20.0821254,14.8914394,2017-01-24T12:00:38Z,21,mortality,0.00355019785645801,9.94174700772336e-7,24,4,4.5,1319,0
80,X21819.1.80,21819.1,R02M,20.0842465,14.8942863,2017-01-24T13:00:09Z,24,mortality,1.58495835906239e-4,4.40266210850665e-8,24,4,4.5,1252,0
81,X21819.1.81,21819.1,R02M,20.0841052,14.8942145,2017-01-24T14:00:09Z,30,mortality,1.5093458848148e-4,4.1579776441179e-8,24,4,4.5,1252,0
82,X21819.1.82,21819.1,R02M,20.0842402,14.894282,2017-01-24T15:00:39Z,36,mortality,0.00399185641149755,1.11879383730312e-6,24,4,4.5,1252,0
83,X21819.1.83,21819.1,R02M,20.0826282,14.8906301,2017-01-24T16:00:07Z,38,mortality,4.104728980166e-5,1.13925311689314e-8,24,4,4.5,1308,0
84,X21819.1.84,21819.1,R02M,20.0826584,14.8906023,2017-01-24T17:00:10Z,41,mortality,7.71433081988407e-5,2.14286967219002e-8,24,4,4.5,1308,0
85,X21819.1.85,21819.1,R02M,20.0826537,14.8905253,2017-01-24T18:00:10Z,38,mortality,4.23615391596716e-5,1.16730612178759e-8,24,4,4.5,1308,1.8626451e-9
86,X21819.1.86,21819.1,R02M,20.0826584,14.8905674,2017-01-24T19:00:39Z,39,mortality,1.59831160924977e-5,4.47831776197751e-9,24,4,4.5,1308,1.8626451e-9
87,X21819.1.87,21819.1,R02M,20.0826695,14.8905789,2017-01-24T20:00:08Z,38,mortality,0.00191879472846773,5.32554740068755e-7,24,4,4.5,1308,1.8626451e-9
88,X21819.1.88,21819.1,R02M,20.083858,14.8920853,2017-01-24T21:00:11Z,43,mortality,0.0059004560205119,1.6399266316042e-6,24,4,4.5,1246,1.8626451e-9
